director_name,actor_1_name,actor_2_name,actor_3_name,movie_title,genres
Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,rush hour 3,Action|Comedy|Crime|Thriller
Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,2012,Action|Adventure|Sci-Fi
Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,a christmas carol,Animation|Drama|Family|Fantasy
Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,jupiter ascending,Action|Adventure|Sci-Fi
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,the legend of tarzan,Action|Adventure|Drama|Romance
Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,"the chronicles of narnia: the lion, the witch and the wardrobe",Adventure|Family|Fantasy
Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,x-men: apocalypse,Action|Adventure|Sci-Fi
Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,the dark knight,Action|Crime|Drama|Thriller
Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,up,Adventure|Animation|Comedy|Family
Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,monsters vs. aliens,Action|Adventure|Animation|Comedy|Family|Sci-Fi
Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,iron man,Action|Adventure|Sci-Fi
Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,hugo,Adventure|Drama|Family|Mystery
Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,wild wild west,Action|Comedy|Sci-Fi|Western
Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,the mummy: tomb of the dragon emperor,Action|Adventure|Fantasy|Horror|Thriller
David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,suicide squad,Action|Adventure|Comedy|Sci-Fi
Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,evan almighty,Comedy|Family|Fantasy
Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,edge of tomorrow,Action|Adventure|Sci-Fi
Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,waterworld,Action|Adventure|Sci-Fi|Thriller
Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,g.i. joe: the rise of cobra,Action|Adventure|Sci-Fi|Thriller
Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,inside out,Adventure|Animation|Comedy|Drama|Family|Fantasy
Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,the jungle book,Adventure|Drama|Family|Fantasy
Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,iron man 2,Action|Adventure|Sci-Fi
Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,snow white and the huntsman,Action|Adventure|Drama|Fantasy
Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,maleficent,Action|Adventure|Family|Fantasy|Romance
Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,dawn of the planet of the apes,Action|Adventure|Drama|Sci-Fi
Roland Joffé,Tamsin Egerton,Alice Englert,Bipasha Basu,the lovers,Action|Adventure|Romance|Sci-Fi
Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,47 ronin,Action|Adventure|Drama|Fantasy
Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,captain america: the winter soldier,Action|Adventure|Sci-Fi
Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,shrek forever after,Adventure|Animation|Comedy|Family|Fantasy
Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,tomorrowland,Action|Adventure|Family|Mystery|Sci-Fi
Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,big hero 6,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi
Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,wreck-it ralph,Adventure|Animation|Comedy|Family|Sci-Fi
Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,the polar express,Adventure|Animation|Family|Fantasy
Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,independence day: resurgence,Action|Adventure|Sci-Fi
Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,how to train your dragon,Adventure|Animation|Family|Fantasy
Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,terminator 3: rise of the machines,Action|Sci-Fi
James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,guardians of the galaxy,Action|Adventure|Sci-Fi
Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,interstellar,Adventure|Drama|Sci-Fi
Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,inception,Action|Adventure|Sci-Fi|Thriller
Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,godzilla resurgence,Action|Adventure|Drama|Horror|Sci-Fi
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,the hobbit: an unexpected journey,Adventure|Fantasy
Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,the fast and the furious,Action|Crime|Thriller
David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,the curious case of benjamin button,Drama|Fantasy|Romance
Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,x-men: first class,Action|Adventure|Sci-Fi
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,the hunger games: mockingjay - part 2,Adventure|Sci-Fi
Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,the sorcerer's apprentice,Action|Adventure|Family|Fantasy
Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,poseidon,Action|Adventure|Drama|Thriller
James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,alice through the looking glass,Adventure|Family|Fantasy
Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,shrek the third,Adventure|Animation|Comedy|Family|Fantasy
Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,warcraft,Action|Adventure|Fantasy
Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,terminator genisys,Action|Adventure|Sci-Fi
Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,the chronicles of narnia: the voyage of the dawn treader,Adventure|Family|Fantasy
Michael Bay,Jennifer Garner,Jaime King,Mako,pearl harbor,Action|Drama|History|Romance|War
Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,transformers,Action|Adventure|Sci-Fi
Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,alexander,Action|Adventure|Biography|Drama|History|Romance|War
David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,harry potter and the order of the phoenix,Adventure|Family|Fantasy|Mystery
Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,harry potter and the goblet of fire,Adventure|Family|Fantasy|Mystery
Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,hancock,Action|Drama
Francis Lawrence,Will Smith,Alice Braga,Willow Smith,i am legend,Drama|Horror|Sci-Fi
Tim Burton,Johnny Depp,Christopher Lee,David Kelly,charlie and the chocolate factory,Adventure|Comedy|Family|Fantasy
Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,ratatouille,Animation|Comedy|Family|Fantasy
Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,batman begins,Action|Adventure
Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,madagascar: escape 2 africa,Action|Adventure|Animation|Comedy|Family
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,night at the museum: battle of the smithsonian,Adventure|Comedy|Family|Fantasy
Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,x-men origins: wolverine,Action|Adventure|Fantasy|Sci-Fi|Thriller
Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,the matrix revolutions,Action|Sci-Fi
Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,frozen,Adventure|Animation|Comedy|Family|Fantasy|Musical
Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,the matrix reloaded,Action|Sci-Fi
Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,thor: the dark world,Action|Adventure|Fantasy
George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,mad max: fury road,Action|Adventure|Sci-Fi|Thriller
Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,angels & demons,Mystery|Thriller
Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,thor,Action|Adventure|Fantasy
Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,bolt,Adventure|Animation|Comedy|Drama|Family
Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,g-force,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi
Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,wrath of the titans,Action|Adventure|Fantasy
Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,dark shadows,Comedy|Fantasy|Horror
Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,mission: impossible - rogue nation,Action|Adventure|Thriller
Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,the wolfman,Drama|Fantasy|Horror|Thriller
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,the legend of tarzan,Action|Adventure|Drama|Romance
Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,bee movie,Adventure|Animation|Comedy|Family
Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,kung fu panda 2,Action|Adventure|Animation|Comedy|Family
M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,the last airbender,Action|Adventure|Family|Fantasy
J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,mission: impossible iii,Action|Adventure|Thriller
Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven,white house down,Action|Drama|Thriller
Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,mars needs moms,Action|Adventure|Animation|Comedy|Family|Sci-Fi
David Bowers,Hugh Jackman,Kate Winslet,David Suchet,flushed away,Adventure|Animation|Comedy|Family
Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie,pan,Adventure|Family|Fantasy
Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar,mr. peabody & sherman,Adventure|Animation|Comedy|Family|Sci-Fi
Wolfgang Petersen,Brad Pitt,Orlando Bloom,Julian Glover,troy,Adventure
Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,madagascar 3: europe's most wanted,Adventure|Animation|Comedy|Family
Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune,die another day,Action|Adventure|Thriller
Paul Feig,Ed Begley Jr.,Kate McKinnon,Zach Woods,ghostbusters,Action|Comedy|Fantasy|Sci-Fi
Michael Bay,Bruce Willis,Steve Buscemi,Will Patton,armageddon,Action|Adventure|Sci-Fi|Thriller
Barry Sonnenfeld,Will Smith,Rosario Dawson,Rip Torn,men in black ii,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi
Robert Zemeckis,Robin Wright,Anthony Hopkins,Sebastian Roché,beowulf,Action|Adventure|Animation|Fantasy
Alessandro Carloni,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,kung fu panda 3,Action|Adventure|Animation|Comedy|Family
Brad Bird,Tom Cruise,Jeremy Renner,Michael Nyqvist,mission: impossible - ghost protocol,Action|Adventure|Thriller
Peter Ramsey,Hugh Jackman,Kamil McFadden,Khamani Griffin,rise of the guardians,Adventure|Animation|Family|Fantasy
Dean Parisot,John Michael Higgins,Richard Burgi,David Herman,fun with dick and jane,Comedy|Crime
Edward Zwick,Tom Cruise,Tony Goldwyn,Chad Lindberg,the last samurai,Action|Drama|History|War
Ridley Scott,Christian Bale,María Valverde,Ben Mendelsohn,exodus: gods and kings,Action|Adventure|Drama
J.J. Abrams,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,star trek,Action|Adventure|Sci-Fi
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,spider-man,Action|Adventure|Fantasy|Romance
Dean DeBlois,Gerard Butler,Djimon Hounsou,America Ferrera,how to train your dragon 2,Action|Adventure|Animation|Comedy|Family|Fantasy
Alex Proyas,Gerard Butler,Elodie Yung,Bryan Brown,gods of egypt,Action|Adventure|Fantasy
Rob Cohen,Sam Shepard,Joe Morton,Richard Roxburgh,stealth,Action|Adventure|Sci-Fi|Thriller
Zack Snyder,Matt Frewer,Billy Crudup,Stephen McHattie,watchmen,Action|Drama|Mystery|Sci-Fi
Richard Donner,Jet Li,Rene Russo,Darlene Love,lethal weapon 4,Action|Crime|Thriller
Ang Lee,Kevin Rankin,Regi Davis,Celia Weston,hulk,Action|Sci-Fi
Jon M. Chu,Channing Tatum,Dwayne Johnson,Elodie Yung,g.i. joe: retaliation,Action|Adventure|Sci-Fi|Thriller
Breck Eisner,Matthew McConaughey,Rainn Wilson,Delroy Lindo,sahara,Action|Adventure|Comedy|Thriller
Hironobu Sakaguchi,Steve Buscemi,Ming-Na Wen,Jean Simmons,final fantasy: the spirits within,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi
Joe Johnston,Chris Evans,Dominic Cooper,Hayley Atwell,captain america: the first avenger,Action|Adventure|Sci-Fi
Michael Apted,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,the world is not enough,Action|Adventure|Thriller
Peter Weir,James D'Arcy,Lee Ingleby,David Threlfall,master and commander: the far side of the world,Action|Adventure|Drama|History|War
Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,the twilight saga: breaking dawn - part 2,Adventure|Drama|Fantasy|Romance
George Miller,Robin Williams,Brad Pitt,Common,happy feet 2,Animation|Comedy|Family|Musical
Louis Leterrier,Ty Burrell,Peter Mensah,William Hurt,the incredible hulk,Action|Adventure|Sci-Fi
unknown,Don Johnson,Philip Michael Thomas,John Diehl,miami vice            ,Action|Crime|Drama|Mystery|Thriller
Steven Spielberg,Mark Rylance,Penelope Wilton,Rafe Spall,the bfg,Adventure|Family|Fantasy
Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Lukas Haas,the revenant,Adventure|Drama|Thriller|Western
David Soren,Ryan Reynolds,Snoop Dogg,Ben Schwartz,turbo,Adventure|Animation|Comedy|Family|Sport
Gore Verbinski,Johnny Depp,Ray Winstone,Stephen Root,rango,Adventure|Animation|Comedy|Family|Western
Eric Darnell,Benedict Cumberbatch,Annet Mahendru,Andy Richter,penguins of madagascar,Adventure|Animation|Comedy|Family
Paul Greengrass,Matt Damon,Edgar Ramírez,Albert Finney,the bourne ultimatum,Action|Mystery|Thriller
Mark Osborne,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,kung fu panda,Action|Adventure|Animation|Comedy|Family
Peyton Reed,Judy Greer,Hayley Atwell,T.I.,ant-man,Action|Adventure|Comedy|Sci-Fi
Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,the hunger games: catching fire,Adventure|Sci-Fi|Thriller
Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,the twilight saga: breaking dawn - part 2,Adventure|Drama|Fantasy|Romance
Tim Johnson,Jim Parsons,Matt Jones,April Winchell,home,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi
Steven Spielberg,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,war of the worlds,Adventure|Sci-Fi|Thriller
Michael Bay,Will Smith,Henry Rollins,Jordi Mollà,bad boys ii,Action|Comedy|Crime|Thriller
Chris Miller,Salma Hayek,Constance Marie,Amy Sedaris,puss in boots,Action|Adventure|Animation|Comedy|Family|Fantasy
Phillip Noyce,Angelina Jolie Pitt,Andre Braugher,August Diehl,salt,Action|Crime|Mystery|Thriller
Darren Aronofsky,Anthony Hopkins,Emma Watson,Logan Lerman,noah,Action|Adventure|Drama
Steven Spielberg,Toby Jones,Mackenzie Crook,Tony Curran,the adventures of tintin,Action|Adventure|Family|Mystery
Alfonso Cuarón,Daniel Radcliffe,Gary Oldman,Rupert Grint,harry potter and the prisoner of azkaban,Adventure|Family|Fantasy|Mystery
Baz Luhrmann,Essie Davis,Bryan Brown,Eddie Baroo,australia,Adventure|Drama|Romance|War
M. Night Shyamalan,Will Smith,Zoë Kravitz,Glenn Morshower,after earth,Action|Adventure|Sci-Fi
Eric Leighton,Alfre Woodard,D.B. Sweeney,Della Reese,dinosaur,Adventure|Animation|Family|Thriller
Matt Birch,Rupert Grint,Dave Legeno,Ralph Ineson,harry potter and the deathly hallows: part ii,Action|Fantasy
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,night at the museum: secret of the tomb,Adventure|Comedy|Family|Fantasy
Tom McGrath,J.K. Simmons,Brad Pitt,Will Ferrell,megamind,Action|Animation|Comedy|Family|Sci-Fi
Chris Columbus,Daniel Radcliffe,Fiona Shaw,Verne Troyer,harry potter and the sorcerer's stone,Adventure|Family|Fantasy
Robert Schwentke,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,r.i.p.d.,Action|Comedy|Fantasy
Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,godzilla resurgence,Action|Adventure|Drama|Horror|Sci-Fi
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,pirates of the caribbean: the curse of the black pearl,Action|Adventure|Fantasy
Matt Birch,Rupert Grint,Toby Jones,Alfred Enoch,harry potter and the deathly hallows: part i,Fantasy
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,the hunger games: mockingjay - part 1,Adventure|Sci-Fi|Thriller
Ron Howard,Tom Hanks,Seth Gabel,Jürgen Prochnow,the da vinci code,Mystery|Thriller
Carlos Saldanha,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,rio 2,Adventure|Animation|Comedy|Family|Musical
Bryan Singer,Hugh Jackman,Bruce Davison,Aaron Stanford,x-men 2,Action|Adventure|Fantasy|Sci-Fi|Thriller
Justin Lin,Paul Walker,Vin Diesel,Dwayne Johnson,fast five,Action|Crime|Thriller
Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Paul Anderson,sherlock holmes: a game of shadows,Action|Adventure|Crime|Mystery|Thriller
Louis Leterrier,Liam Neeson,Jason Flemyng,Alexa Davalos,clash of the titans,Action|Adventure|Fantasy
Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell,total recall,Action|Sci-Fi
John McTiernan,Tony Curran,Vladimir Kulich,Clive Russell,the 13th warrior,Action|Adventure|History
Tony Gilroy,Jeremy Renner,Scott Glenn,Stacy Keach,the bourne legacy,Action|Adventure|Thriller
Joel Schumacher,Michael Gough,Vivica A. Fox,John Glover,batman & robin,Action
Ron Howard,Clint Howard,T.J. Thyne,Molly Shannon,how the grinch stole christmas,Comedy|Family|Fantasy
Roland Emmerich,Jake Gyllenhaal,Dennis Quaid,Sela Ward,the day after tomorrow,Action|Adventure|Sci-Fi|Thriller
John Woo,Tom Cruise,Dougray Scott,Richard Roxburgh,mission: impossible ii,Action|Adventure|Thriller
Wolfgang Petersen,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,the perfect storm,Action|Adventure|Drama|Thriller
Tim Story,Chris Evans,Ioan Gruffudd,Andre Braugher,fantastic 4: rise of the silver surfer,Action|Adventure|Sci-Fi|Thriller
Ang Lee,Suraj Sharma,Rafe Spall,Tabu,life of pi,Adventure|Drama|Fantasy
Mark Steven Johnson,Nicolas Cage,Matt Long,Peter Fonda,ghost rider,Action|Fantasy|Thriller
Paul Greengrass,Matt Damon,Riz Ahmed,Ato Essandoh,jason bourne,Action|Thriller
McG,Demi Moore,Bernie Mac,Justin Theroux,charlie's angels: full throttle,Action|Adventure|Comedy|Crime
Ridley Scott,Michael Fassbender,Charlize Theron,Sean Harris,prometheus,Adventure|Mystery|Sci-Fi
Rob Minkoff,Nathan Lane,Brad Garrett,Melanie Griffith,stuart little 2,Adventure|Animation|Comedy|Family|Fantasy
Neill Blomkamp,Matt Damon,Sharlto Copley,Alice Braga,elysium,Action|Drama|Sci-Fi|Thriller
David Twohy,Vin Diesel,Alexa Davalos,Christina Cox,the chronicles of riddick,Action|Adventure|Sci-Fi|Thriller
José Padilha,Gary Oldman,Abbie Cornish,Jennifer Ehle,robocop,Action|Crime|Sci-Fi|Thriller
Lana Wachowski,Scott Porter,Kick Gurry,Nicholas Elia,speed racer,Action|Family|Sport
James L. Brooks,Shelley Conn,Domenick Lombardozzi,Teyonah Parris,how do you know,Comedy|Drama|Romance
